,min,max,mean,std,variance,skewness,kurtosis
Temperature,51.1,102.7,81.55350649350649,13.620629819611883,185.52155668290047,-0.5045121190232142,-0.9289881531359754
DewPoint,15.3,58.1,36.73116883116883,8.696905276631028,75.63616139069264,-0.07517227371474063,-0.890210633391114
Humidity,9.4,47.7,23.116103896103898,9.74916398069654,95.04619832251082,0.7411966080533182,-0.43061392173000046
Wind,4.4,16.1,10.014285714285714,2.3620322666236864,5.579196428571429,0.02604572077870213,-0.4747092714993024
Pressure,28.9,29.6,29.185324675324672,0.1404010662907668,0.019712459415584294,0.4342371124515364,-0.6481370353830229
SolarPV,8.581428571,40.03885714,24.23161855285974,7.496979328146531,56.20469904665641,0.13858258171079046,-1.2648179596882956
Month,1.0,12.0,6.189610389610389,3.287111210200395,10.805100108225107,0.24117263192400598,-1.1355121983198675
DayOfYear,1.0,365.0,172.9142857142857,100.62052489309477,10124.490029761904,0.25508715501131357,-1.1208382247216246
WeekOfYear,1.0,52.0,24.885714285714286,14.3428055633677,205.71607142857144,0.2612548660999693,-1.1224377865343391
Temp_Hum,850.42,3407.9100000000003,1786.5987012987014,538.6914370514959,290188.4643526058,0.3013044085502439,-0.5592388652121651
Temp_Div_Hum,1.1501103752759383,9.117117117117118,4.108922663963944,1.967201179203843,3.8698804794609907,0.3670104201108301,-0.7029203161943673
Wind_Press,127.60000000000001,468.51000000000005,292.2873506493507,68.99591857452025,4760.436779941829,0.025552798578107473,-0.4610074116444478
Temperature_Sq,2611.21,10547.29,6836.014103896105,2135.0701902994465,4558524.717505314,-0.2930049355346894,-1.1105885256571855
SolarPV_Sq,73.6409163191751,1603.1100810773287,643.2300505066628,374.1077965385551,139956.64343093292,0.45085592872539165,-1.13326429952155
Wind_Sq,19.360000000000003,259.21000000000004,105.85062337662339,47.94580478504235,2298.8001964853897,0.5526810080585608,-0.11680119670378897
DewPoint_Sq,234.09000000000003,3375.61,1424.6184675324675,638.1761719740953,407268.8264755101,0.31605322916176953,-0.7211863319025222
